,incode1,count,count_perc,ALC_perc,,
472,1TM03JASR,19,0,21.05,,
473,1WA03JAMM,19,0,36.84,,
474,1ZZ35HAB7,19,0,5.26,,
475,1ZZ35HAP5,19,0,31.58,,
476,2UB71HA,19,0,10.53,,
477,3AF10VA,19,0,15.79,,
478,3JX40WA,19,0,42.11,,
479,3KT30DA,19,0,15.79,,
480,7SC70SC,19,0,31.58,,
481,1HA52HA,18,0,5.56,,
482,1NP73BA,18,0,16.67,,
483,1YV59JAGX,18,0,11.11,,
484,1YZ80LA,18,0,11.11,,
485,2QT70CA,18,0,0,,
486,3OT10VZ,18,0,16.67,,
487,8MM70HABL,18,0,11.11,,
488,1HA52HATS,17,0,5.88,,
489,1NM52CATS,17,0,0,,
490,1NP13BAGX,17,0,0,,
491,1OE54HATS,17,0,0,,
492,1PM35HHZ9,17,0,11.76,,
493,1ZZ35HAR5,17,0,0,,
494,3GY10WX,17,0,0,,
495,3VG10KM,17,0,11.76,,
496,1YD80JAFF,16,0,6.25,,
497,1ZZ35HAC2,16,0,0,,
498,2AN24JAJA,16,0,0,,
499,2GZ58ZZ,16,0,18.75,,
500,3EF10AS,16,0,12.5,,
501,3ER30DA,16,0,6.25,,
502,3GE10VA,16,0,12.5,,
503,3IP20VA,16,0,12.5,,
504,3IP30HA,16,0,6.25,,
505,3JM30DD,16,0,6.25,,
506,3JY10VA,16,0,6.25,,
507,3KE10VX,16,0,18.75,,
508,3KE30DA,16,0,6.25,,
509,3WZ10VA,16,0,12.5,,
510,1ET13CATS,15,0,0,,
511,1ET73JA,15,0,33.33,,
512,1GJ77LALG,15,0,20,,
513,1OT52LATS,15,0,0,,
514,1OZ35CAT9,15,0,0,,
515,1TM03JASQ,15,0,20,,
516,1VA03JZTA,15,0,46.67,,
517,1WG03JAFQ,15,0,66.67,,
518,1YS59JAGX,15,0,13.33,,
519,1YW14JAH1,15,0,26.67,,
520,1ZZ35HAE1,15,0,6.67,,
521,1ZZ35HAE6,15,0,6.67,,
522,1ZZ35YAE4,15,0,0,,
523,2CC70JD,15,0,0,,
524,2NA02ZZ,15,0,20,,
525,2PM29ZZ,15,0,13.33,,
526,3KY30DA,15,0,0,,
527,3OG10WZ,15,0,0,,
528,3TB10VA,15,0,26.67,,
529,3VZ20WE,15,0,33.33,,
530,1FR52LA,14,0,0,,
531,1IS51GRKA,14,0,7.14,,
532,1NF35CAT9,14,0,0,,
533,1NK54HATS,14,0,0,,
534,1PE50DABJ,14,0,7.14,,
535,1VX52LA,14,0,0,,
536,1WV59LAGX,14,0,14.29,,
537,2GZ21EG,14,0,14.29,,
538,2HZ07NR,14,0,7.14,,
539,3AN10VJ,14,0,21.43,,
540,3GT70CA,14,0,14.29,,
541,3JX30DC,14,0,28.57,,
